experimento,algoritmo,secuencia1,secuencia2,longitud1,longitud2,tiempo,celdas,score
NW_random,NW_C_LIN,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,711106,256048002,1851
NW_random,NW_C_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,400792,256272072,1851
NW_random,NW_C_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,397346,256528272,1851
NW_random,NW_C_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,508255,257041056,1851
NW_random,NW_ASM_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,405731,256272072,1851
NW_random,NW_ASM_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,355309,256528272,1851
NW_random,NW_ASM_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_1.fasta,16001,16001,311140,257041056,1851
SW_random,SW_C_LIN,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,749472,256048002,1823
SW_random,SW_C_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,442904,256272072,1823
SW_random,SW_C_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,418681,256528272,1823
SW_random,SW_C_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,571414,257041056,1823
SW_random,SW_ASM_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,475545,256272072,1823
SW_random,SW_ASM_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,398804,256528272,1823
SW_random,SW_ASM_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,338909,257041056,1823
NW_random,NW_C_LIN,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,709326,256048002,1794
NW_random,NW_C_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,397785,256272072,1794
NW_random,NW_C_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,396398,256528272,1794
NW_random,NW_C_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,510432,257041056,1794
NW_random,NW_ASM_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,405564,256272072,1794
NW_random,NW_ASM_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,354641,256528272,1794
NW_random,NW_ASM_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_6.fasta,16001,16001,312092,257041056,1794
SW_random,SW_C_LIN,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,761104,256048002,1883
SW_random,SW_C_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,438416,256272072,1883
SW_random,SW_C_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,414948,256528272,1883
SW_random,SW_C_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,576874,257041056,1883
SW_random,SW_ASM_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,474786,256272072,1883
SW_random,SW_ASM_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,395303,256528272,1883
SW_random,SW_ASM_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,337099,257041056,1883
NW_random,NW_C_LIN,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,706692,256048002,1856
NW_random,NW_C_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,397530,256272072,1856
NW_random,NW_C_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,396480,256528272,1856
NW_random,NW_C_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,502862,257041056,1856
NW_random,NW_ASM_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,402433,256272072,1856
